vat_rule_id,hs_code,vat_rate_percent,is_zero_rated,is_exempt,exemption_reason,legal_reference
61,72104900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
62,69072100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
63,10059010,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
64,31021000,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
65,38089100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
66,29053100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
67,95030010,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
68,49019900,0,No,Yes,Educational material or registered medicine/medical device exempt supply,"Value-Added Tax Act [Chapter 23:12], 1st Schedule (Exempt Supplies)"
69,93033000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
70,71131900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
