tariff_id,hs_code,rate_type,duty_rate_percent,requires_certificate_of_origin,effective_date,legal_reference,notes
73,33049900,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
74,33049900,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
75,33051000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
76,33051000,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
77,67030000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
78,94036000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
79,94036000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
80,94032000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
81,94032000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
82,94033000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
83,94033000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
84,25232900,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
85,25232900,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
86,72104900,General (MFN),15,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
87,72104900,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
88,69072100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
89,69072100,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
90,10059010,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
91,10059010,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
92,31021000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
93,31021000,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
94,38089100,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
95,38089100,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
96,29053100,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
97,29053100,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
98,95030010,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
99,95030010,AfCFTA,20,Yes,2026-01-01,African Continental Free Trade Area tariff schedule (phase-in),Reduced rate under AfCFTA phased tariff liberalisation as of 2026
100,49019900,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
101,49019900,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
102,93033000,General (MFN),25,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
103,71131900,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
104,71131900,AfCFTA,20,Yes,2026-01-01,African Continental Free Trade Area tariff schedule (phase-in),Reduced rate under AfCFTA phased tariff liberalisation as of 2026
